"id_log";"usuario";"data"
"360";"4";"2018-08-25 17:08:00"
"361";"4";"2018-08-25 17:08:00"
"362";"4";"2018-08-25 17:08:00"
"363";"4";"2018-08-25 17:08:00"
"364";"4";"2018-08-25 17:08:00"
"365";"4";"2018-08-25 17:08:00"
"366";"3";"2018-08-27 12:08:00"
"367";"3";"2018-08-27 12:08:00"
"368";"3";"2018-08-27 12:08:00"
"369";"3";"2018-08-27 12:08:00"
"370";"3";"2018-08-27 12:08:00"
"371";"3";"2018-08-27 12:08:00"
"372";"3";"2018-08-27 12:08:00"
"373";"3";"2018-08-27 12:08:00"
"374";"3";"2018-08-27 12:08:00"
"375";"3";"2018-08-27 12:08:00"
"376";"3";"2018-08-27 12:08:00"
"377";"3";"2018-08-27 12:08:00"
"378";"3";"2018-08-27 12:08:00"
"379";"3";"2018-08-27 12:08:00"
"380";"3";"2018-08-27 12:08:00"
"381";"3";"2018-08-27 12:08:00"
"382";"3";"2018-08-27 12:08:00"
"383";"3";"2018-08-27 12:08:00"
"384";"3";"2018-08-27 12:08:00"
"385";"3";"2018-08-27 13:08:00"
"386";"3";"2018-08-27 13:08:00"
"387";"3";"2018-08-27 13:08:00"
"388";"3";"2018-08-27 13:08:00"
"389";"3";"2018-08-27 14:08:00"
"390";"3";"2018-08-27 14:08:00"
"391";"3";"2018-08-27 14:08:00"
"392";"3";"2018-08-27 14:08:00"
"393";"3";"2018-08-27 14:08:00"
"394";"3";"2018-08-27 14:08:00"
"395";"3";"2018-08-27 14:08:00"
"396";"3";"2018-08-27 14:08:00"
"397";"3";"2018-08-27 14:08:00"
"398";"3";"2018-08-27 14:08:00"
"399";"3";"2018-08-27 14:08:00"
"400";"3";"2018-08-27 14:08:00"
"401";"3";"2018-08-27 14:08:00"
"402";"3";"2018-08-27 14:08:00"
"403";"3";"2018-08-27 14:08:00"
"404";"3";"2018-08-27 14:08:00"
"405";"3";"2018-08-27 14:08:00"
"406";"3";"2018-08-27 14:08:00"
"407";"3";"2018-08-27 14:08:00"
"408";"3";"2018-08-27 14:08:00"
"409";"3";"2018-08-27 14:08:00"
"410";"4";"2018-08-27 16:08:00"
"411";"4";"2018-08-27 16:08:00"
"412";"4";"2018-08-27 16:08:00"
"413";"4";"2018-08-27 16:08:00"
"414";"4";"2018-08-27 16:08:00"
"415";"4";"2018-08-27 16:08:00"
"416";"4";"2018-08-27 16:08:00"
"417";"4";"2018-08-27 16:08:00"
"418";"4";"2018-08-27 16:08:00"
"419";"4";"2018-08-27 17:08:00"
"420";"4";"2018-08-27 17:08:00"
"421";"4";"2018-08-27 17:08:00"
"422";"4";"2018-08-27 17:08:00"
"423";"4";"2018-08-27 17:08:00"
"424";"4";"2018-08-27 17:08:00"
"425";"4";"2018-08-27 17:08:00"
"426";"4";"2018-08-27 17:08:00"
"427";"3";"2018-08-27 17:08:00"
"428";"3";"2018-08-27 17:08:00"
"429";"3";"2018-08-27 17:08:00"
"430";"3";"2018-08-27 17:08:00"
"431";"3";"2018-08-27 17:08:00"
"432";"3";"2018-08-27 17:08:00"
"433";"3";"2018-08-27 17:08:00"
"434";"3";"2018-08-27 17:08:00"
"435";"3";"2018-08-27 17:08:00"
"436";"3";"2018-08-27 17:08:00"
"437";"3";"2018-08-27 17:08:00"
