"idpedido";"titulo";"vencimento";"tipo_pagamento";"data_compra";"pagamento";"valorbruto";"valorliquid";"saldo";"parcela";"idclientes";"idcolaborador"
"548";"82C4940";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"239.7";"239.7";"239.7";"1";"368";"3"
"549";"622F4BD";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"159.7";"159.7";"159.7";"1";"368";"3"
"551";"8477F89";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"159.7";"159.7";"159.7";"1";"207";"4"
"553";"7E324EF";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"59.9";"59.9";"0";"1";"292";"4"
"554";"443C8A7";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"362.5";"362.5";"362.5";"1";"459";"3"
"555";"FD26403";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"504.5";"504.5";"249.6";"1";"226";"3"
"556";"E413577";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"355.6";"355.6";"355.6";"1";"393";"3"
"557";"19ABB4B";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"416.3";"391.3";"0";"1";"460";"3"
"558";"79223F1";"2018-07-14";"CRD";"2018-07-14";"0000-00-00";"159.9";"159.9";"159.9";"1";"321";"3"
"559";"E9ED06E";"2018-07-16";"CRD";"2018-07-16";"0000-00-00";"89.9";"89.9";"89.9";"1";"313";"4"
"560";"156D985";"2018-07-16";"DEB";"2018-07-16";"2018-07-16";"24.9";"24.9";"0";"0";"336";"4"
"561";"7964CAE";"2018-07-16";"CRD";"2018-07-16";"0000-00-00";"380.5";"380.5";"180.5";"1";"366";"4"
"562";"B6CF7A9";"2018-07-17";"CRD";"2018-07-17";"0000-00-00";"893.8";"893.8";"893.8";"1";"28";"3"
"563";"66C938D";"2018-07-18";"CRD";"2018-07-18";"0000-00-00";"89.9";"89.9";"89.9";"1";"27";"4"
"564";"54AB948";"2018-07-18";"CRD";"2018-07-18";"0000-00-00";"109.9";"109.9";"0";"1";"86";"3"
"565";"D83DE34";"2018-07-18";"CRD";"2018-07-18";"0000-00-00";"209.8";"169.8";"0";"1";"46";"3"
"566";"E11E299";"2018-07-19";"CRD";"2018-07-19";"0000-00-00";"459.4";"459.4";"0";"1";"125";"4"
"567";"B224DD3";"2018-07-19";"DIN";"2018-07-19";"2018-07-19";"49.9";"49.9";"0";"0";"461";"4"
"568";"9234C0C";"2018-07-19";"CRD";"2018-07-19";"0000-00-00";"783";"783";"738.8";"1";"341";"4"
"569";"35C1309";"2018-07-20";"CRD";"2018-07-20";"0000-00-00";"65.9";"65.9";"0";"1";"237";"4"
"570";"9823704";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"89.9";"89.9";"0";"1";"349";"4"
"571";"325F8A2";"2018-07-21";"DIN";"2018-07-21";"2018-07-21";"169.7";"150";"0";"0";"395";"4"
"572";"2D3E913";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"369.4";"369.4";"119.4";"1";"462";"4"
"573";"AB8E8ED";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"59.9";"59.9";"59.9";"1";"298";"4"
"574";"3D805DE";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"109.9";"109.9";"109.9";"1";"305";"4"
