"id_caixa";"tipo_caixa";"titulo";"valor";"id_colaborador";"idcliente";"data_caixa"
"175";"DEB";"156D985";"24.90";"4";"0";"2018-07-16 00:00:00"
"176";"CRE";;"219.20";"4";"23";"2018-07-16 00:00:00"
"177";"ABERTURA CAIXA";;"100.00";"4";"0";"2018-07-17 00:00:00"
"178";"DIN";;"120.00";"4";"256";"2018-07-17 00:00:00"
"179";"DIN";;"100.00";"3";"314";"2018-07-17 00:00:00"
"180";"SANGRIA";;"320.00";"3";"0";"2018-07-17 00:00:00"
"181";"DEB";;"159.80";"3";"431";"2018-07-17 00:00:00"
"182";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-07-18 00:00:00"
"183";"CRE";;"259.60";"4";"159";"2018-07-18 00:00:00"
"184";"DIN";;"59.00";"4";"27";"2018-07-18 00:00:00"
"185";"ABERTURA CAIXA";NULL;"59.00";"4";NULL;"2018-07-19 00:00:00"
"186";"DIN";NULL;"200.00";"4";"102";"2018-07-19 00:00:00"
"187";"DIN";NULL;"50.00";"4";"432";"2018-07-19 00:00:00"
"188";"DIN";NULL;"50.00";"4";"434";"2018-07-19 00:00:00"
"189";"DIN";NULL;"200.00";"4";"51";"2018-07-19 00:00:00"
"190";"DIN";NULL;"62.00";"4";"53";"2018-07-19 00:00:00"
"191";"DIN";NULL;"38.00";"4";"51";"2018-07-19 00:00:00"
"192";"DIN";"B224DD3";"49.90";"4";NULL;"2018-07-19 00:00:00"
"193";"ABERTURA CAIXA";NULL;"710.00";"3";NULL;"2018-07-20 00:00:00"
"194";"DIN";NULL;"100.00";"3";"180";"2018-07-20 00:00:00"
"195";"DIN";NULL;"150.00";"3";"311";"2018-07-20 00:00:00"
"196";"SANGRIA";NULL;"960.00";"4";NULL;"2018-07-20 00:00:00"
"197";"DEB";NULL;"280.00";"4";"237";"2018-07-20 00:00:00"
"198";"DIN";NULL;"100.00";"4";"348";"2018-07-20 00:00:00"
"199";"DIN";NULL;"300.00";"4";"133";"2018-07-20 00:00:00"
"200";"SANGRIA";NULL;"400.00";"4";NULL;"2018-07-20 00:00:00"
"201";"ABERTURA CAIXA";NULL;"0.00";"4";NULL;"2018-07-21 00:00:00"
"202";"DIN";NULL;"500.00";"4";"274";"2018-07-21 00:00:00"
"203";"DIN";"325F8A2";"150.00";"4";NULL;"2018-07-21 00:00:00"
"204";"DIN";NULL;"100.00";"4";"298";"2018-07-21 00:00:00"
"205";"SANGRIA";NULL;"750.00";"4";NULL;"2018-07-21 00:00:00"
"206";"DIN";NULL;"100.00";"4";"305";"2018-07-21 00:00:00"
"207";"DIN";"DFAB28E";"179.80";"4";NULL;"2018-07-21 00:00:00"
"208";"SANGRIA";NULL;"179.80";"4";NULL;"2018-07-21 00:00:00"
"209";"SANGRIA";NULL;"179.80";"4";NULL;"2018-07-21 00:00:00"
"210";"ABERTURA CAIXA";NULL;"100.00";"4";NULL;"2018-07-23 00:00:00"
"211";"SANGRIA";NULL;"100.00";"4";NULL;"2018-07-23 00:00:00"
"212";"DEB";NULL;"110.00";"4";"165";"2018-07-23 00:00:00"
"213";"DEB";NULL;"100.00";"4";"296";"2018-07-23 00:00:00"
"214";"DIN";NULL;"200.00";"4";"11";"2018-07-23 00:00:00"
"215";"DIN";NULL;"120.00";"4";"260";"2018-07-23 00:00:00"
"216";"DIN";NULL;"200.00";"4";"312";"2018-07-23 00:00:00"
"217";"SANGRIA";NULL;"500.00";"4";NULL;"2018-07-23 00:00:00"
"218";"ABERTURA CAIXA";NULL;"20.00";"4";NULL;"2018-07-24 00:00:00"
"219";"DIN";NULL;"150.00";"4";"287";"2018-07-24 00:00:00"
"220";"ABERTURA CAIXA";NULL;"170.00";"3";NULL;"2018-07-25 00:00:00"
"221";"DIN";NULL;"100.00";"3";"378";"2018-07-25 00:00:00"
"222";"CRE";"2EE6F2A";"142.80";"3";"464";"2018-07-25 00:00:00"
"223";"SANGRIA";NULL;"250.00";"3";NULL;"2018-07-25 00:00:00"
"224";"ABERTURA CAIXA";NULL;"20.00";"4";NULL;"2018-07-26 00:00:00"
"225";"CRE";"9F439C6";"390.70 ";"4";"465";"2018-07-26 00:00:00"
"226";"DIN";"7AE1D03";"39.90";"4";NULL;"2018-07-26 00:00:00"
"227";"DEB";NULL;"349.40";"3";"166";"2018-07-26 00:00:00"
"228";"DIN";"3A9D409";"100.00";"4";NULL;"2018-07-26 00:00:00"
"229";"DIN";"474D7CA";"29.90";"4";NULL;"2018-07-26 00:00:00"
"230";"SANGRIA";NULL;"169.80";"4";NULL;"2018-07-26 00:00:00"
"231";"DIN";NULL;"189.80";"4";"29";"2018-07-26 00:00:00"
"232";"CRE";"74101E3";"10.00";"4";"29";"2018-07-26 00:00:00"
"233";"ABERTURA CAIXA";NULL;"220.00";"4";NULL;"2018-07-27 00:00:00"
"234";"SANGRIA";NULL;"50.00";"4";NULL;"2018-07-27 00:00:00"
"235";"SANGRIA";NULL;"70.00 ";"4";NULL;"2018-07-27 00:00:00"
"236";"SANGRIA";NULL;"50.00";"3";NULL;"2018-07-27 00:00:00"
"237";"ABERTURA CAIXA";NULL;"50.00";"4";NULL;"2018-07-28 00:00:00"
"238";"DIN";NULL;"50.00";"4";"162";"2018-07-28 00:00:00"
"239";"DIN";NULL;"54.90";"4";"449";"2018-07-28 00:00:00"
"240";"DIN";NULL;"50.00";"4";"449";"2018-07-28 00:00:00"
"241";"DIN";NULL;"50.00";"4";"298";"2018-07-28 00:00:00"
"242";"DEB";NULL;"59.90";"3";"292";"2018-07-28 00:00:00"
"243";"SANGRIA";NULL;"10.00";"4";NULL;"2018-07-28 00:00:00"
"244";"ABERTURA CAIXA";NULL;"245.00";"3";NULL;"2018-07-30 00:00:00"
